ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Reviewer,Review
29-49,29/03/23 13:03:45,https://twitter.com/SeoulCeb/status/1322774029804085249,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Aquino, Yolanda, corrupt",@SeoulCeb,Rico,,Anonymous,02/19,89,14,,"@BIENsays @noynoyaquino Wait, may dapat pa bang idebate about sa response ng dating admin sa Yolanda typhoon? Alam naman ng buong mundo kung gano ka palpak at gaano ka corrupt ang naging response nila... diba nga Aquino siya at Romualdez ang Mayor ng Tacloban? Remember?",,"Text, Reply",01/11/20 05:34,,Rational,0,1,0,,,,"The late former president Noynoy Aquino, former interior secretary Mar Roxas and Vice President Leni Robredo with a caption accusing them of pocketing billions in Yolanda relief funds. This claim is FALSE.",No bio and location.,,
29-50,29/03/23 13:10:42,https://twitter.com/rara923819/status/1446779905060982788,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Aquino murderer, corrupt",@rara923819,Rara,,Anonymous,11/20,66,29,"Pasay City, National Capital R",@PapiJaps Ayaw nya daw sa enabler pero full support sa corrupt at murderer Aquino enabler na si Leni Robredo. clown yarnn??,,"Text, Reply",09/10/21 10:09,,Rational,0,0,0,,,,"Corruption accusation: The late former president Noynoy Aquino, former interior secretary Mar Roxas and Vice President Leni Robredo with a caption accusing them of pocketing billions in Yolanda relief funds. This claim is FALSE. Murderer accusation: In 1987, the Supreme Court ruled that “…any judgment rendered by such [a] body relating to a civilian is null and void for lack of jurisdiction.” regarding Aquino's sentence by military tribunal. ",Yolanda: https://pressone.ph/fact-check-aquino-roxas-robredo-not-charged-for-corruption-related-to-the-yolanda-funds/,,
29-51,29/03/23 13:17:24,https://twitter.com/BlackKaiser45/status/1511737237570191362,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Ninoy died Malaysian, Plaza Miranda, murdere, Ninoy not a hero",@BlackKaiser45,samaritan,but the real truth is.. good and bad live in everybody's heart.. and it's gonna be up to you to make the right choice.. and i know you will..,Anonymous,01/21,1776,1239,spy balloon,"@TheGary86481490 @cartoonistzach @plantlex @PakTooth Ninoy is NOT a hero, he died for his political ambition and as a Malaysian citizen.. he was a murderer, the mastermind of Plaza Miranda bombing and that's according to his LP partymates.. https://t.co/kN2Fa1u8uc",,"Text, Reply",06/04/22 16:06,,Rational,4,0,0,,,,"On being a Malaysian citizen: There is no evidence showing that Aquino applied for a Malaysian passport       On Plaza Miranda Bombing: There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing. Furthermore, no witnesses has ever tagged him as a suspect to the said bombing.    On being a murderer: In 1987, the Supreme Court ruled that “…any judgment rendered by such [a] body relating to a civilian is null and void for lack of jurisdiction.” regarding Aquino's sentence by military tribunal. ",On being a Malaysian citizen: https://verafiles.org/articles/vera-files-fact-check-ninoy-aquino-did-not-die-a-malaysian-citizen                    On Plaza Miranda Bombing: https://factsfirstph-partners.rappler.com/4214/fact-check-jay-sonza-says-ninoy-aquino-jr-joma-sison-masterminds-1971-plaza-miranda-bombing/ On being a murderer: https://verafiles.org/articles/vera-files-fact-check-ninoy-aquinos-conviction-was-overturned,,
29-52,29/03/23 13:26:34,https://twitter.com/ErinPord/status/1499314592811712515,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Aquino, murderer, corrupt",@ErinPord,Paul Duritz,i make music and write poetry.,Identified,06/20,30,7,,"@LukeEspirituPH the government of FEM &amp; PRRD are not murderers and corrupt. It's the Aquino government and your beloved CPP-NPA-NDF who are murderers, corrupt and illegal revolutionary tax collector. Gets? You brainless terrorist!",,"Text, Reply",03/03/22 09:23,,"Rational, Emotional",0,0,0,,,,"On corruption: The late former president Noynoy Aquino, former interior secretary Mar Roxas and Vice President Leni Robredo with a caption accusing them of pocketing billions in Yolanda relief funds. This claim is FALSE.      On being a murderer: In 1987, the Supreme Court ruled that “…any judgment rendered by such [a] body relating to a civilian is null and void for lack of jurisdiction.” regarding Aquino's sentence by military tribunal. ",No location.  On Corruption: https://pressone.ph/fact-check-aquino-roxas-robredo-not-charged-for-corruption-related-to-the-yolanda-funds/ On being a murderer: https://verafiles.org/articles/vera-files-fact-check-ninoy-aquinos-conviction-was-overturned,,
29-53,29/03/23 13:46:54,https://twitter.com/Gadz1117/status/1549610138230980608,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Ninoy not a hero, Plaza Miranda bombing",@Gadz1117,Gado,Rise above the ordinary....,Anonymous,08/21,701,453,Republic of the Philippines,@ChairAndyBau Andy ....Sabi ni Jovito Salonga....isa daw si Ninoy (not a hero)...sa utak ng plaza miranda bombing....tsismis or kasaysayan?,,"Text, Reply",20/07/22 04:20,,Rational,0,0,0,,,,There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing.,,,
29-54,29/03/23 13:56:21,https://twitter.com/teriyo/status/1544426388869955584,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Ninoy not a hero, Plaza Miranda, co founder CPP",@teriyo,Eterio Herrera jr,"Australian 64 years old , investigator of controversial facts and figures.",Identified,03/09,4324,1600,"Parramatta, Australia","Marcial Bonifacio aka Ninoy Aquino is Not a Hero of the Philippines, for he is the MADBOMBER OF Plaza Miranda and co founder of Joma Sison Communist Party of the Philippines, better still is to reOpen this Unresolve d assasination Case in August 21, 1983 hero of EDSA1 and Edsa2!",,Text,05/07/22 21:01,,Rational,31,0,13,,,,"On Plaza Miranda: There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing. Furthermore, no witnesses has ever tagged him as a suspect to the said bombing. On CPP-NPA:  While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF. ",On Plaza Miranda: https://factsfirstph-partners.rappler.com/4214/fact-check-jay-sonza-says-ninoy-aquino-jr-joma-sison-masterminds-1971-plaza-miranda-bombing/  On being an NPA backer:  https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/ ,,
29-55,29/03/23 14:08:19,https://twitter.com/Michael550265/status/1510386574097223683,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Ninoy not a hero, Plaza Miranda bombing",@Michael550265,Michael,This is the way,Anonymous,05/21,103,253,,"@ordalaTsGH_ @jun_madrid @iammasmaldita Marcos allowed Ninoy to travel to the US

Ninoy is not a hero

Ninoy is a BFF to JOMA
Ninoy was part of the Plaza Miranda bombing",,"Text, Reply",02/04/22 22:39,,Rational,2,1,0,,,,There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing.,No location.,,
29-56,29/03/2023 14:12:43,https://twitter.com/iamcrtfdg/status/1468304776655867908,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Ninoy, Plaza Miranda, NPA",@iamcrtfdg,Certified Navoteña - Proud Filipina,"Pinay - sa isip, sa puso at sa gawa. #Batang90s #BatangNavotas #ProudNavotenyo #ProudPinoy",Anonymous,07/09,432,136,"Navotas City, Philippines","@benign0 I wonder though... they keep saying that Marcos is not a hero, but Ninoy is? Ano ba nagawa ni Ninoy? bukod sa palaganapin ang NPA at pasabugin ang Plaza Miranda?",,"Text, Reply",07/12/21 19:41,,Rational,9,0,3,,,,"On Plaza Miranda: There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing. Furthermore, no witnesses has ever tagged him as a suspect to the said bombing. On CPP-NPA:  While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF. ",On Plaza Miranda: https://factsfirstph-partners.rappler.com/4214/fact-check-jay-sonza-says-ninoy-aquino-jr-joma-sison-masterminds-1971-plaza-miranda-bombing/  On being an NPA backer:  https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/ ,,
29-57,29/03/2023 14:19:21,https://twitter.com/elBartolo_Toro/status/1440981954116022272,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Ninoy not a hero, Plaza Miranda",@elBartolo_Toro,Jack Ryan,,Anonymous,01/11,66,22,,@CamillaML0408 @111_yep @alvinsimpleo16 @iamsuperbianca Binomba nga sariling mga tao sa Plaza Miranda para lang magmukhang masama si Marcos. Ninoy is not a hero. He's a vile opportunist willing to trade his soul to take whatever power the presidency offers.,,"Text, Reply",23/09/21 10:10,,Rational,0,0,0,,,,There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing.,No bio and location.,,
29-58,29/03/2023 14:21:32,https://twitter.com/DineroRobbie/status/1439700110871461892,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Ninoy not a hero, Plaza Miranda bombing",@DineroRobbie,Robbie Dinero,UUUUUUYYYYY! NAG VISIT SA PROFILE KO MGA LOSERS  ETONG SA INYO OH ,Anonymous,03/21,18,7,,@upv_statsoc ninoy is not a hero also! isa sa mastermind ng plaza miranda bombming!,,"Text, Reply",19/09/21 21:17,,Rational,0,0,0,,,,There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing.,No location,,
29-59,29/03/2023 14:25:52,https://twitter.com/vamrflores/status/1428979947486412804,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Ninoy not a hero, Plaza Miranda",@vamrflores,Vince✨, ♥️ | Para sa bayan at agham | Madaldal ako dito,Identified,05/21,1071,589,Philippines,"Ninoy is not a hero, and so is Marcos. Neither of them deserves to be one.

Walang kahit anong justification ang martial law, at wala rin nakalilimot sa pambomba sa Plaza Miranda. 

Ang pagkasawi ng buhay ng mga Pilipino dahil sa karahasan ay ‘di dapat kailanman kalimutan.",,Text,21/08/21 07:19,,Rational,7,0,0,,,,There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing.,,,
29-60,29/03/2023 14:29:21,https://twitter.com/GingerLemonTea3/status/1332874541740273672,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Ninoy not a hero, CPPNPA, Plaza Miranda",@GingerLemonTea3,GingerLemonTea,"When exposing a crime is treated as committing a crime, you are being ruled by CRIMINALS.",Anonymous,07/20,7,7,,ITO PALA ANG TUNAY NA NANGYARI! Plaza Miranda Gawa ng CPPNPA Tama si Pre... https://t.co/oZyl0akxJ9 via @YouTube Mainstream Media I challenge you if you’ve got the balls @rapplerdotcom @ABSCBNNews @inquirerdotnet @gmanews every Filipino needs to see this truth! Ninoy not a hero https://t.co/RidVao3I3j,,"Text, URL, Image",29/11/20 02:30,,Rational,0,0,0,,,,"On Plaza Miranda: There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing. Furthermore, no witnesses has ever tagged him as a suspect to the said bombing. On CPP-NPA:  While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF. ",No location. On Plaza Miranda: https://factsfirstph-partners.rappler.com/4214/fact-check-jay-sonza-says-ninoy-aquino-jr-joma-sison-masterminds-1971-plaza-miranda-bombing/  On being an NPA backer:  https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/ ,,
29-61,29/03/2023 14:35:56,https://twitter.com/AlejandroDeGuz2/status/1280317777711161344,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Aquino not a hero, Sabah, Malaysian Passport, Plaza Miranda, NPA",@AlejandroDeGuz2,Alejandro De Guzman,Believer in the power and greatness of God.,Identified,08/15,54,7,,@inquirerdotnet Ninoy is not a hero but likely a traitor.  He exposed the aborted recovery of Sabah. He got a Malaysian Passport when assasinated and was believed to be their spy.  He was suspected  brain of the Plaza Miranda bombing. His fame is the creation of ABS-CBN .  Suspected NPA backer.,,"Text, Reply",07/07/20 01:48,,Rational,1,0,0,,,,"On Sabah: Aquino Sr. only meant to expose the massacre in his privilege speech at the Legislative Building and led the senate probe on the issue. On Malaysian Passport: There is no evidence showing that Aquino applied for a Malaysian passport. On Plaza Miranda: There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing. Furthermore, no witnesses has ever tagged him as a suspect to the said bombing. On being an NPA backer:  While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF. ",No location. On Sabah: https://davaotoday.com/politics/fact-check-video-alluding-the-late-ninoy-aquino-as-traitor-for-exposing-jabidah-massacre-lacks-context-misleading/ On Malaysian Passport: https://verafiles.org/articles/vera-files-fact-check-ninoy-aquino-did-not-die-a-malaysian-citizen On Plaza Miranda: https://factsfirstph-partners.rappler.com/4214/fact-check-jay-sonza-says-ninoy-aquino-jr-joma-sison-masterminds-1971-plaza-miranda-bombing/  On being an NPA backer:  https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/ ,,
29-62,29/03/2023 14:38:03,https://twitter.com/Jerseylois0/status/1522767448902356993,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Aquino, NPA",@Jerseylois0,Jerseylois_05,,Anonymous,04/22,12,0,,"@Khdreay1 @iMthinkingPinoy Kung si marcos may ninakaw atleast may naitulong sa bansa,keysa sa aquino na hindi naman nagnakaw at hindi corrupt rebulto lang ng aquino at NPA ang napagawa",,"Text, Reply",07/05/22 01:01,,Rational,1,0,0,,,,"While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF.",No bio and location.,,
29-63,29/03/23 14:41:23,https://twitter.com/ListeningMiddle/status/1544728739007066112,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Ninoy not a hero, founding NPA",@ListeningMiddle,listening middle,listening in the middle,Anonymous,12/21,252,97,,"@QuezonFm What's the evidence Marcos killed Ninoy? He sent him to the US for operation. What's the contribution of Ninoy? Founding NPA which killed thousands. Joma could have killed Ninoy. Marcos warned him, he insisted. Ang tawag dyan katangahan. NINOY IS NOT A HERO.",,"Text, Reply",06/07/22 17:03,,Rational,0,0,1,,,,"While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF.",No location.,,
29-64,29/03/2023 14:56:08,https://twitter.com/papapiols/status/1544269774808645632,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Ninoy not a hero, itinayo NPA",@papapiols,PAPA PiOLS  ,"I FIX LUNGS. CAN'T TOLERATE BULLSHITS.

Half Pinoy.. Half Balugs",Anonymous,01/12,520,320,"Mangatarem, Ilocos Region",@ABSCBNNews @VivienneGulla Fact: Ninoy is not a hero. Di deserve ipangalan ang anuman govt infrastructure sa kanya. Ipangalan na lang sa kanya ay yung itinayo nyang teroristang grupong NPA.,,"Text, Reply",05/07/22 10:39,,Rational,1,0,0,,,,"While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF.",,,
29-65,29/03/23 19:16:22,https://twitter.com/TeejhayBwon/status/1598352667881132032 ,29,"Libiran, Kyle David",AQNO,Allegations Surrounding the Aquinos,Noynoy corrupt,@TeejhayBwon,OhmNanon_LoveWins,Bl lover,Anonymous,12/21,125,47,Republic of the Philippines,"Pagdating sa pagnanakaw ng pera, walang tatalo sa kay noynoy aquino! Abnormal ka na lang kung maniniwala ka pa sa mga lies na very natural sa kanila at sa mga kakampwets! Never again to corrupt and magnanakaw na dilawans or pinklawans na bobo na lutang pa, mana lang kay leni ROB",,"Text,Reply",12/02/22 12:25,,Emotional,0,0,0,,,,"There were no solid evidences nor context given just pure opinion.
Although there were cases filed against Noynoy he was not charged guilty of any of them and some were dropped therefore he is not corrupt until proven which also means that the allegation is unproven.

Some cases filed against Noynoy but isn't proven yet:

[https://www.reuters.com/article/us-philippines-corruption-aquino-idUSKBN1JG155]

[https://www.cnnphilippines.com/news/2019/8/22/aquino-mamasapano-criminal-charges.html]
",,,
29-66,29/03/23 20:00:03,https://twitter.com/melvinesp/status/1600276480873107458 ,29,"Libiran, Kyle David",AQNO,Allegations Surrounding the Aquinos,Aquino Kurakot,@melvinesp,NuclearFusion❤️💚,We shall be a Great Nation. It’s Time for us to Rise Again.,Anonymous,10/11,1208,762,Quezon City,"D totoo yang pinagsasabi ni Raissa. Ang Kurakot ay ang mga Aquino. D ba yan si KLEPTO, accused din of stealing?",,"Text, Reply",07/12/22 07:50,,Emotional,1,0,0,,,,"There were no evidences nor context given just pure opinion.
Although there were cases filed against Noynoy he was not charged guilty of any of them and some were dropped therefore he is not corrupt until proven which also means that the allegation is unproven. Also, there were no news about Cory being corrupt therefore the allegations against her are false 

Some cases filed against Noynoy but isn't proven yet:

[https://www.reuters.com/article/us-philippines-corruption-aquino-idUSKBN1JG155]

[https://www.cnnphilippines.com/news/2019/8/22/aquino-mamasapano-criminal-charges.html]

",,,
29-67,29/03/23 20:09:45,https://twitter.com/RocafortElmer52/status/1530054374978125824 ,29,"Libiran, Kyle David",AQNO,Allegations Surrounding the Aquinos,Noynoy corrupt,@RocafortElmer52,TropangPinoy(c),John 3:16,Identified,05/22,1205,1024,Philippines,NOYNOY AQUINO'S GOVERNMENT IS THE MOST CORRUPT.,,"Text, Reply",27/05/22 13:12,,Rational,0,0,0,,,,"There were no evidences nor context given just pure opinion.
Although there were cases filed against Noynoy he was not charged guilty of any of them and some were dropped therefore he is not corrupt until proven which also means that the allegation is unproven.

Some cases filed against Noynoy but isn't proven yet:

[https://www.reuters.com/article/us-philippines-corruption-aquino-idUSKBN1JG155]

[https://www.cnnphilippines.com/news/2019/8/22/aquino-mamasapano-criminal-charges.html]
",,,
29-68,29/03/23 20:21:27,https://twitter.com/Ellalov47413636/status/1523668979419475968 ,29,"Libiran, Kyle David",AQNO,Allegations Surrounding the Aquinos,Aquino Kurakot,@Ellalov47413636,Ellalove,,Anonymous,06/21,55,11,,Mas corrupt ang mga pinklawan!! AQUINO ANG MGA TOTOONG KURAKOT!!! HNDI MARCOS!,,"Text, Reply",09/05/22 22:19,,Emotional,0,0,0,,,,"There were no evidences nor context given just pure opinion.
Although there were cases filed against Noynoy he was not charged guilty of any of them and some were dropped therefore he is not corrupt until proven which also means that the allegation is unproven.

Some cases filed against Noynoy but isn't proven yet:

[https://www.reuters.com/article/us-philippines-corruption-aquino-idUSKBN1JG155]

[https://www.cnnphilippines.com/news/2019/8/22/aquino-mamasapano-criminal-charges.html]
","No bio, No location",,
29-69,29/03/23 20:30:26,https://twitter.com/jmfs1972excom/status/1527667233496784896,29,"Libiran, Kyle David",AQNO,Allegations Surrounding the Aquinos,"Cory Corrupt, Noynoy, Ninoy not a hero",@jmfs1972excom,jmSomes,friendly,Identified,02/22,33,4,"National Capital Region, Repub","Ķayo ang revisionist! Ninoy is not a hero he is a traitor, corybis the most corrupt and noynoy who rub millions of ton of gold in Central bank",,"Text, Reply",20/05/22 23:07,,"Emotional, Rational",2,0,0,,,,"There were no solid evidence given just pure opinion.
Although there were cases filed against Noynoy he was not charged guilty of any of them and some were dropped therefore he is not corrupt until proven which also means that the allegation is unproven. Also, his statement about Ninoy being a traitor has no basis nor any explanation

Some cases filed against Noynoy but isn't proven yet:

[https://www.reuters.com/article/us-philippines-corruption-aquino-idUSKBN1JG155]

[https://www.cnnphilippines.com/news/2019/8/22/aquino-mamasapano-criminal-charges.html]
","Identified due to the name and the cover photo that looks like it is his name and his photo. However, unsure if it is really him.",,
29-70,29/03/23 20:53:47,https://twitter.com/petronvi26/status/1506815147389632524,29,"Libiran, Kyle David",AQNO,Allegations Surrounding the Aquinos,Aquino Kurakot,@petronvi26,David Ho,,Identified,04/13,1450,162,"jeddah, Saudi Arabia",SOLID MARCOS PA RIN...AQUINO KURAKOT ANG GINAWA WALA PROYEKTO,,"Text, Reply",24/03/22 10:08,,Emotional,0,0,0,,,,"There were no evidences nor context given just pure opinion.
Although there were cases filed against Noynoy he was not charged guilty of any of them and some were dropped therefore he is not corrupt until proven which also means that the allegation is unproven. Also, there were a lot of achievements during the time of the Aquinos like high economy, low inflation, infrastructures and more shown in the link below.

Some cases filed against Noynoy but isn't proven yet:

[https://www.reuters.com/article/us-philippines-corruption-aquino-idUSKBN1JG155]

[https://www.cnnphilippines.com/news/2019/8/22/aquino-mamasapano-criminal-charges.html]

Aquino Achievements
[https://newsinfo.inquirer.net/1450807/noynoy-aquinos-rule-numbers-tell-part-of-the-story]","Identified due to the name and the photo that looks like a real person. However, unsure if it is really him/her.

No Bio",,
29-71,29/03/23 21:03:55,https://twitter.com/lakasloob/status/1501735561350238209,29,"Libiran, Kyle David",AQNO,Allegations Surrounding the Aquinos,Aquino Corrupt,@lakasloob,Rebazar,Just tell the truth.,Anonymous,11/10,290,216,,The Philippines had the most corrupt and inefficient government under Cory and Noynoy Aquino. Leni is the copycat of these monsters of history. We should never allow the yellows to take control of the government again.,,Text,10/03/22 09:43,,Rational,0,0,0,,,,"There were no evidences nor context given just pure opinion.
Although there were cases filed against Noynoy he was not charged guilty of any of them and some were dropped therefore he is not corrupt until proven which also means that the allegation is unproven. Also, there were no news about Cory being corrupt therefore the allegations against her are false 

Some cases filed against Noynoy but isn't proven yet:

[https://www.reuters.com/article/us-philippines-corruption-aquino-idUSKBN1JG155]

[https://www.cnnphilippines.com/news/2019/8/22/aquino-mamasapano-criminal-charges.html]

",No location,,
29-72,29/03/23 21:19:38,https://twitter.com/lakasloob/status/1501716774487982080,29,"Libiran, Kyle David",AQNO,Allegations Surrounding the Aquinos,Aquino Corrupt,@lakasloob,Rebazar,Just tell the truth.,Anonymous,11/10,290,216,,Leni is the epitome of who not to elect in public office.We cannot go back to the CORRUPT and INEFFICIENT leadership displayed by Cory and Noynoy Aquino. Ibasura po si Leni. Magkakaloko loko lang ang bansa natin kay Leni.,,Text,10/03/22 08:29,,Rational,0,0,0,,,,"There were no evidences nor context given just pure opinion.
Although there were cases filed against Noynoy he was not charged guilty of any of them and some were dropped therefore he is not corrupt until proven which also means that the allegation is unproven. Also, there were no news about Cory being corrupt therefore the allegations against her are false 

Some cases filed against Noynoy but isn't proven yet:

[https://www.reuters.com/article/us-philippines-corruption-aquino-idUSKBN1JG155]

[https://www.cnnphilippines.com/news/2019/8/22/aquino-mamasapano-criminal-charges.html]

",No location,,
29-73,29/03/23 21:24:03,https://twitter.com/CrazedGG_/status/1475632896027152385,29,"Libiran, Kyle David",AQNO,Allegations Surrounding the Aquinos,Aquino Kurakot,@CrazedGG_,Jcabero,,Identified,11/20,3,0,"Rosales,Pangasinan","Whe asaan ang asenso, Aquino administration kurakot, Aquino ang tunay na magnanakaw, milyon ang pondo tapos yung project gawa lang sa kahoy ano yan gold🤦",,"Text, Reply",28/12/21 09:01,,Emotional,9,0,1,,,,"There were no solid evidences given just pure opinion.
Although there were cases filed against Noynoy he was not charged guilty of any of them and some were dropped therefore he is not corrupt until proven which also means that the allegation is unproven. Also, there were no news about Cory being corrupt therefore the allegations against her are false 

Some cases filed against Noynoy but isn't proven yet:

[https://www.reuters.com/article/us-philippines-corruption-aquino-idUSKBN1JG155]

[https://www.cnnphilippines.com/news/2019/8/22/aquino-mamasapano-criminal-charges.html]

",No bio,,
29-74,29/03/23 21:28:56,https://twitter.com/Adele77745389/status/1475507459305492480,29,"Libiran, Kyle David",AQNO,Allegations Surrounding the Aquinos,Aquino Kurakot,@Adele77745389,Adele,None,Anonymous,07/21,8,1,,Hmm walang napatunayan. Kasi nga mga Aquinos tlga magnanakaw dahil sa pagnanakaw ng Aquino isa ang pilipinas sa pinaka mahirap na bansa. Sino kawawa ? Taong bayan . 2 Aquino naging presidente puro palpak kasi walang plano mabuti sa bansa mga kurakot,,"Text, Reply",28/12/21 00:42,,Emotional,0,0,0,,,,"There were no evidences nor context given just pure opinion.
Although there were cases filed against Noynoy he was not charged guilty of any of them and some were dropped therefore he is not corrupt until proven which also means that the allegation is unproven. Also, there were a lot of achievements during the time of the Aquinos like high economy, low inflation, infrastructures and more shown in the link below.

Some cases filed against Noynoy but isn't proven yet:

[https://www.reuters.com/article/us-philippines-corruption-aquino-idUSKBN1JG155]

[https://www.cnnphilippines.com/news/2019/8/22/aquino-mamasapano-criminal-charges.html]

Aquino Achievements
[https://newsinfo.inquirer.net/1450807/noynoy-aquinos-rule-numbers-tell-part-of-the-story]",No location,,
29-75,29/03/23 21:34:05,https://twitter.com/3Jauncey/status/1465227839431933952,29,"Libiran, Kyle David",AQNO,Allegations Surrounding the Aquinos,Aquino Kurakot,@3Jauncey,3rdy Jauncey,"#BBMISMYPRESIDENT2022
#BBMSARA2022

MGA PINKLAWAN MAGSILAYAS KAYO SA PINAS, MGA SALOT KAYO NG BANSA, MGA TANGA BOBO UTO UTO BULAG! INA NYO! PINK!",Anonymous,04/20,2280,830,,"Totoo yan. Kaya nga biglang bagsak ang pinas simula ng maupo yang tunay na kurakot sa bayan, cory corakot. Mga AQUINO naman talaga ang totoong magnanakaw, pinag bintangan ang mga Marcos para makuha nila ang yaman. MGA HAYUP TALAGA ANG DILAW!",,"Text, Reply",29/11/21 15:55,,Emotional,0,0,0,,,,"There were no evidences nor context given just pure opinion.
Although there were cases filed against Noynoy he was not charged guilty of any of them and some were dropped therefore he is not corrupt until proven which also means that the allegation is unproven. Also, there were no news about Cory being corrupt therefore the allegations against her are false 

Some cases filed against Noynoy but isn't proven yet:

[https://www.reuters.com/article/us-philippines-corruption-aquino-idUSKBN1JG155]

[https://www.cnnphilippines.com/news/2019/8/22/aquino-mamasapano-criminal-charges.html]

","No location

Anonymous since no trace of real name nor face",,
29-76,29/03/23 21:48:04,https://twitter.com/Darusen1/status/1447455994338938881,29,"Libiran, Kyle David",AQNO,Allegations Surrounding the Aquinos,Aquino Kurakot,@Darusen1,Berzerk,,Anonymous,07/20,1,13,,"Kurakot noynoy admintration Aquino family wala ambag, kubo na pabahay ,delata sa yolanda ano ambag nila aber aral ka muna history  wag sa fakenews dilawan na bobo",,"Text, Reply",10/11/21 14:56,,"Rational, Emotional",0,0,0,,,,"There were no solid evidences given just pure opinion.
Although there were cases filed against Noynoy he was not charged guilty of any of them and some were dropped therefore he is not corrupt until proven which also means that the allegation is unproven. Also, there were no news about Cory being corrupt therefore the allegations against her are false. Also, there were a lot of achievements during the time of the Aquinos like high economy, low inflation, infrastructures and more shown in the link below.

Some cases filed against Noynoy but isn't proven yet:

[https://www.reuters.com/article/us-philippines-corruption-aquino-idUSKBN1JG155]

[https://www.cnnphilippines.com/news/2019/8/22/aquino-mamasapano-criminal-charges.html]

Aquino Achievements
[https://newsinfo.inquirer.net/1450807/noynoy-aquinos-rule-numbers-tell-part-of-the-story]",No location. No Bio,,
